team_name
Booth
Clear
Board
Force
Blade
Blitz
Aegis
Daily
Prime
Zenith
Slate
Revel
Fuse
Dodge
Bellow
Spire
Flame
Count
Hawks
Glory
Court
Dance
Magic
Lucid
Unity
Pivot
Horde
Coast
Grant
Below
Voice
Civic
Derby
Power
Smack
Check
Cobra
Cover
Brass
Beast
Mercy
Curve
Sense
Guide
Jewel
Blend
